"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","STINT","TOT","PC_PA","M","2006-07",5.46,
"USA","STINT","TOT","PC_PA","M","2006-08",5.38,
"USA","STINT","TOT","PC_PA","M","2006-09",5.34,
"USA","STINT","TOT","PC_PA","M","2006-10",5.33,
"USA","STINT","TOT","PC_PA","M","2006-11",5.32,
"USA","STINT","TOT","PC_PA","M","2006-12",5.32,
"USA","STINT","TOT","PC_PA","M","2007-01",5.32,
"USA","STINT","TOT","PC_PA","M","2007-02",5.31,
"USA","STINT","TOT","PC_PA","M","2007-03",5.3,
"USA","STINT","TOT","PC_PA","M","2007-04",5.31,
"USA","STINT","TOT","PC_PA","M","2007-05",5.31,
"USA","STINT","TOT","PC_PA","M","2007-06",5.33,
"USA","STINT","TOT","PC_PA","M","2007-07",5.32,
"USA","STINT","TOT","PC_PA","M","2007-08",5.49,
"USA","STINT","TOT","PC_PA","M","2007-09",5.46,
"USA","STINT","TOT","PC_PA","M","2007-10",5.08,
"USA","STINT","TOT","PC_PA","M","2007-11",4.97,
"USA","STINT","TOT","PC_PA","M","2007-12",5.02,
"USA","STINT","TOT","PC_PA","M","2008-01",3.84,
"USA","STINT","TOT","PC_PA","M","2008-02",3.06,
"USA","STINT","TOT","PC_PA","M","2008-03",2.79,
"USA","STINT","TOT","PC_PA","M","2008-04",2.85,
"USA","STINT","TOT","PC_PA","M","2008-05",2.66,
"USA","STINT","TOT","PC_PA","M","2008-06",2.76,
"USA","STINT","TOT","PC_PA","M","2008-07",2.79,
"USA","STINT","TOT","PC_PA","M","2008-08",2.79,
"USA","STINT","TOT","PC_PA","M","2008-09",3.59,
"USA","STINT","TOT","PC_PA","M","2008-10",4.32,
"USA","STINT","TOT","PC_PA","M","2008-11",2.36,
"USA","STINT","TOT","PC_PA","M","2008-12",1.77,
"USA","STINT","TOT","PC_PA","M","2009-01",1.02,
"USA","STINT","TOT","PC_PA","M","2009-02",1.16,
"USA","STINT","TOT","PC_PA","M","2009-03",1.07,
"USA","STINT","TOT","PC_PA","M","2009-04",0.89,
"USA","STINT","TOT","PC_PA","M","2009-05",0.57,
"USA","STINT","TOT","PC_PA","M","2009-06",0.39,
"USA","STINT","TOT","PC_PA","M","2009-07",0.35,
"USA","STINT","TOT","PC_PA","M","2009-08",0.3,
"USA","STINT","TOT","PC_PA","M","2009-09",0.25,
"USA","STINT","TOT","PC_PA","M","2009-10",0.24,
"USA","STINT","TOT","PC_PA","M","2009-11",0.21,
"USA","STINT","TOT","PC_PA","M","2009-12",0.22,
"USA","STINT","TOT","PC_PA","M","2010-01",0.2,
"USA","STINT","TOT","PC_PA","M","2010-02",0.19,
"USA","STINT","TOT","PC_PA","M","2010-03",0.23,
"USA","STINT","TOT","PC_PA","M","2010-04",0.3,
"USA","STINT","TOT","PC_PA","M","2010-05",0.45,
"USA","STINT","TOT","PC_PA","M","2010-06",0.52,
"USA","STINT","TOT","PC_PA","M","2010-07",0.41,
"USA","STINT","TOT","PC_PA","M","2010-08",0.32,
"USA","STINT","TOT","PC_PA","M","2010-09",0.28,
"USA","STINT","TOT","PC_PA","M","2010-10",0.27,
"USA","STINT","TOT","PC_PA","M","2010-11",0.27,
"USA","STINT","TOT","PC_PA","M","2010-12",0.3,
"USA","STINT","TOT","PC_PA","M","2011-01",0.29,
"USA","STINT","TOT","PC_PA","M","2011-02",0.28,
"USA","STINT","TOT","PC_PA","M","2011-03",0.28,
"USA","STINT","TOT","PC_PA","M","2011-04",0.23,
"USA","STINT","TOT","PC_PA","M","2011-05",0.21,
"USA","STINT","TOT","PC_PA","M","2011-06",0.22,
"USA","STINT","TOT","PC_PA","M","2011-07",0.24,
"USA","STINT","TOT","PC_PA","M","2011-08",0.29,
"USA","STINT","TOT","PC_PA","M","2011-09",0.33,
"USA","STINT","TOT","PC_PA","M","2011-10",0.37,
"USA","STINT","TOT","PC_PA","M","2011-11",0.41,
"USA","STINT","TOT","PC_PA","M","2011-12",0.49,
"USA","STINT","TOT","PC_PA","M","2012-01",0.4,
"USA","STINT","TOT","PC_PA","M","2012-02",0.3,
"USA","STINT","TOT","PC_PA","M","2012-03",0.29,
"USA","STINT","TOT","PC_PA","M","2012-04",0.29,
"USA","STINT","TOT","PC_PA","M","2012-05",0.29,
"USA","STINT","TOT","PC_PA","M","2012-06",0.32,
"USA","STINT","TOT","PC_PA","M","2012-07",0.3,
"USA","STINT","TOT","PC_PA","M","2012-08",0.26,
"USA","STINT","TOT","PC_PA","M","2012-09",0.24,
"USA","STINT","TOT","PC_PA","M","2012-10",0.23,
"USA","STINT","TOT","PC_PA","M","2012-11",0.23,
"USA","STINT","TOT","PC_PA","M","2012-12",0.24,
"USA","STINT","TOT","PC_PA","M","2013-01",0.23,
"USA","STINT","TOT","PC_PA","M","2013-02",0.22,
"USA","STINT","TOT","PC_PA","M","2013-03",0.21,
"USA","STINT","TOT","PC_PA","M","2013-04",0.2,
"USA","STINT","TOT","PC_PA","M","2013-05",0.2,
